,duration,start,end,text,emotion,nature
5,1.87,17.96,19.83,Maybe people don t know ,worry,offensive_speech
8,2.441,26.539,28.98,A simple way To automatically Create subtitles and closed,neutral,offensive_speech
9,1.73,28.98,30.71,captions For your YouTube videos,worry,offensive_speech
11,4.159,33.42,37.579,if you have a foreign movie clip whose subtitles are not on the internet,neutral,offensive_speech
19,4.48,56.108999999999995,60.589,But my watch time will increase making this video rank higher haha ,neutral,offensive_speech
27,1.0,82.29,83.29, But guess what ,worry,offensive_speech
32,3.89,90.64,94.53,It s free You don t have to download any extra software,worry,offensive_speech
33,1.26,94.53,95.79,And works for both windows and Mac,neutral,offensive_speech
35,3.59,96.97,100.56,But do you know what s awesome ,worry,offensive_speech
41,3.45,113.56,117.01,And then you have to spend a minute or two to give,worry,offensive_speech
48,5.56,130.069,135.629,But if you try that Most of your word will lost due to background,worry,offensive_speech
49,1.401,135.629,137.03,noise And you won t get accuracy,worry,offensive_speech
50,2.209,137.03,139.239,But what if it s listening directly from the videos,worry,offensive_speech
51,4.341,139.239,143.58,I e the output of your computer becomes the input for Google voice to text,neutral,offensive_speech
54,2.55,146.48,149.03,MacOS This time let s start with Mac first ,neutral,offensive_speech
61,2.8489999999999998,167.14,169.98899999999998,Then unzip it and install it on your computer,neutral,offensive_speech
65,2.1,182.59,184.69,If are wondering what this 64 ch is for ,worry,offensive_speech
66,4.56,184.69,189.25,Well I don t know either But what I do know is it won t work with,worry,offensive_speech
69,4.78,192.37,197.15,Now fire up Google chrome and yes it only works in chrome ,neutral,offensive_speech
75,2.199,212.37,214.569,And there start recording,worry,offensive_speech
77,10.850999999999999,216.959,227.81,Like I said It also works with other languages,neutral,offensive_speech
80,1.141,243.46900000000002,244.61,Because of background music,love,offensive_speech
81,4.159,244.61,248.769,But if the song has no or little music Than it works well ,neutral,offensive_speech
95,4.44,284.14,288.58,Tough I ve tested this with that method So I m not sure how this is going to play ,worry,offensive_speech
96,2.04,288.58,290.62,but If you have a friend with mac,neutral,offensive_speech
102,5.21,302.37,307.58,If you want me to reveal all my little known practice on youtube,neutral,offensive_speech
106,5.12,313.32,318.44,And like always Thanks for watching ,neutral,offensive_speech
